title,description,regular_cost_ex_gst,regular_cost_plus_gst,markdown_cost_ex_gst,markdown_cost_plus_gst,markdown_percent,stock_availability,product_page_url,primary_image_url,additional_image_urls,source_table_page,checked_at_utc,scrape_status
"GW 25,000 Wave Maker WIFI",Simply add to cart and we will invoice the amount accordingly.,311.20,342.32,264.52,290.97,15.00,,https://daluawholesale.com.au/product/gw-25000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.433663+00:00,ok
"GW 15,000 Wave Maker WIFI",Simply add to cart and we will invoice the amount accordingly.,222.88,245.17,189.45,208.40,15.00,,https://daluawholesale.com.au/product/gw-15000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.433979+00:00,ok
"GW 10,000 Wave Maker WIFI",Simply add to cart and we will invoice the amount accordingly.,211.53,232.68,179.80,197.78,15.00,,https://daluawholesale.com.au/product/gw-10000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.434150+00:00,ok
"GW 6,000 Wave Maker WIFI",Simply add to cart and we will invoice the amount accordingly.,152.91,168.20,129.97,142.97,15.00,,https://daluawholesale.com.au/product/gw-6000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.434304+00:00,ok
"GW 12,500 Return Pump WIFI",Simply add to cart and we will invoice the amount accordingly.,369.41,406.35,314.00,345.40,15.00,,https://daluawholesale.com.au/product/gw-12500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.434440+00:00,ok
"GW 8,500 Return Pump WIFI",Simply add to cart and we will invoice the amount accordingly.,320.00,352.00,272.00,299.20,15.00,,https://daluawholesale.com.au/product/gw-8500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.434568+00:00,ok
FREE SHIPPING with WIO River Kits,FREE SHIPPING!!! Get any 4 WIO River Kits and get free shipping on whole order!,1.00,1.10,0.99,1.09,1.00,,https://daluawholesale.com.au/product/free-shipping-with-wio-river-kits/,https://daluawholesale.com.au/wp-content/uploads/2026/03/7b3f4692-c1a9-8231-bd70-620759719f4e.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.434729+00:00,ok
"GW 5,500 Return Pump WIFI",Simply add to cart and we will invoice the amount accordingly.,261.18,287.30,222.00,244.20,15.00,,https://daluawholesale.com.au/product/gw-5500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.434862+00:00,ok
"GW 3,500 Return Pump WIFI",Simply add to cart and we will invoice the amount accordingly.,204.70,225.17,174.00,191.40,15.00,,https://daluawholesale.com.au/product/gw-3500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.434988+00:00,ok
GW – 30 Skimmer WIFI,Simply add to cart and we will invoice the amount accordingly.,1116.47,1228.12,949.00,1043.90,15.00,,https://daluawholesale.com.au/product/gw-30-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.435124+00:00,ok
