classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.531,Haunted Wood Large per piece,25.36,27.90,19.46,21.41,https://daluawholesale.com.au/product/haunted-wood-large-per-piece/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,haunted wood per piece,3
missing,0.523,Haunted Wood Medium per piece,12.96,14.26,9.97,10.97,https://daluawholesale.com.au/product/haunted-wood-medium-per-piece/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,haunted wood per piece,3
missing,0.562,Haunted Wood Small per piece,6.73,7.40,5.38,5.92,https://daluawholesale.com.au/product/haunted-wood-x-small-per-piece/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,haunted wood per piece,3
missing,0.545,Haunted Wood X-Small per piece,4.31,4.74,3.45,3.80,https://daluawholesale.com.au/product/haunted-wood-small-per-piece/,https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,haunted wood x per piece,2
missing,0.588,RAIL ONLY 180CM,106.61,117.27,88.84,97.72,https://daluawholesale.com.au/product/rail-only-180cm/,https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail only,5
missing,0.588,RAIL ONLY 150CM,94.61,104.07,78.84,86.72,https://daluawholesale.com.au/product/rail-only-150cm/,https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail only,5
missing,0.595,RAIL ONLY 120CM,83.45,91.80,69.54,76.49,https://daluawholesale.com.au/product/rail-only-120cm/,https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail only,5
missing,0.556,RAIL ONLY .90CM,77.34,85.07,64.45,70.90,https://daluawholesale.com.au/product/rail-only-90cm/,https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail only,5
missing,0.562,RAIL ONLY .60CM,65.34,71.87,54.45,59.90,https://daluawholesale.com.au/product/rail-only-60cm/,https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail only,5
missing,0.588,Bottom Feeder 25g by SAS,8.25,9.08,6.37,7.01,https://daluawholesale.com.au/product/bottom-feeder-25g-by-sas/,https://daluawholesale.com.au/wp-content/uploads/2022/11/300203547_527960822665890_5414167399628789488_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,bottom feeder by sas,2
missing,0.588,Bottom Feeder 50g by SAS,13.71,15.08,10.97,12.07,https://daluawholesale.com.au/product/shrimp-sticks-50g-by-sas-copy/,https://daluawholesale.com.au/wp-content/uploads/2022/11/300203547_527960822665890_5414167399628789488_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,bottom feeder by sas,2
missing,0.579,Shrimpy Bits 50g by SAS,13.71,15.08,10.97,12.07,https://daluawholesale.com.au/product/shrimpy-bits-50g-by-sas/,https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,shrimpy bits by sas,3
missing,0.584,Shrimp Aid 50g by SAS,13.71,15.08,10.97,12.07,https://daluawholesale.com.au/product/shrimp-aid-50g-by-sas/,https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,shrimp aid by sas,3
missing,0.584,Shrimp Aid 25g by SAS,8.25,9.08,6.37,7.01,https://daluawholesale.com.au/product/shrimp-aid-25g-by-sas/,https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,shrimp aid by sas,3
missing,0.579,Shrimpy Bits 25g by SAS,8.25,9.08,6.37,7.01,https://daluawholesale.com.au/product/shrimpy-bits-25g-by-sas/,https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,shrimpy bits by sas,3
missing,0.579,Shrimpy Bits 15g by SAS,5.63,6.19,4.35,4.79,https://daluawholesale.com.au/product/shrimpy-bits15g-by-sas/,https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,shrimpy bits by sas,3
missing,0.584,Shrimp Aid 15g by SAS,5.63,6.19,4.35,4.79,https://daluawholesale.com.au/product/shrimp-aid-15g-by-sas/,https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,shrimp aid by sas,3
missing,0.596,RAIL MOUNTING SYSTEM .90CM,146.41,161.05,122.01,134.21,https://daluawholesale.com.au/product/rail-mounting-system-90cm/,https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail mounting system,3
missing,0.596,RAIL MOUNTING SYSTEM .60CM,134.41,147.85,112.01,123.21,https://daluawholesale.com.au/product/rail-mounting-system-60cm/,https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail mounting system,3
missing,0.561,RAIL MOUNTING SYSTEM .45CM,120.01,132.01,100.01,110.01,https://daluawholesale.com.au/product/rail-mounting-system-45cm/,https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,rail mounting system,3
missing,0.473,E-Marco Cement 2.2kg Bucket (GREY),19.86,21.85,16.55,18.21,https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket/,https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,e marco cement bucket,2
missing,0.545,WATER SOFTENER FX 250mL,27.81,30.59,22.25,24.48,https://daluawholesale.com.au/product/water-softener-fx-250ml/,https://daluawholesale.com.au/wp-content/uploads/2021/06/soft_web_800x.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,water softener fx,2
missing,0.545,WATER SOFTENER FX 500mL,40.63,44.69,32.50,35.75,https://daluawholesale.com.au/product/water-softener-fx-500ml/,https://daluawholesale.com.au/wp-content/uploads/2021/06/soft_web_800x.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,water softener fx,2
missing,0.541,ORGANIC FX 250mL,36.05,39.66,28.84,31.72,https://daluawholesale.com.au/product/organic-fx-250ml/,https://daluawholesale.com.au/wp-content/uploads/2021/06/Organic-Fx-Media-100-Organic-Regenerable-Resin-Blue-Life-USA-250-mL-99.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,organic fx,2
missing,0.541,ORGANIC FX 500mL,55.56,61.12,44.45,48.90,https://daluawholesale.com.au/product/organic-fx-500ml/,https://daluawholesale.com.au/wp-content/uploads/2021/06/1392.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,organic fx,2
