classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.690,WIO Paleo Nano Stone 1.5kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-paleo-nano-stone-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-Paleorock-NanoRock1.5kg4_d543e604-ef68-4c54-8712-031d1584ba8a.webp,WIO Silver Shadow Nano Stone 2kg,https://nanotanksaustralia.com.au/products/wio-silver-shadow-nano-stone-2kg,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wio paleo nano stone,
missing,0.677,WIO Wild Red Nano Stone 1.5 kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-wild-red-nano-stone-1-5-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wioWildRedLavaNanoRock4_5091cda3-4934-43b1-a091-c976d148518e.webp,WIO Silver Shadow Nano Stone 2kg,https://nanotanksaustralia.com.au/products/wio-silver-shadow-nano-stone-2kg,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wio wild nano stone,
missing,0.656,WIO Darwin Black Nano Stone 1.5 kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-darwin-black-nano-stone-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-DarwinBlackLavaStone4_cabf5d17-6b00-438f-8b90-86bd0eccdee4.webp,WIO Grey Fossil Nano Stone 2kg,https://nanotanksaustralia.com.au/products/wio-grey-fossil-nano-stone-2kg,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wio darwin nano stone,
missing,0.710,WIO Black Ryuoh Nano Stone 2kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/black-ryuoh-nano-stone-2-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_nanorock_blackryuoh_dry_png.png,WIO Silver Shadow Nano Stone 2kg,https://nanotanksaustralia.com.au/products/wio-silver-shadow-nano-stone-2kg,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wio ryuoh nano stone,
missing,0.535,WIO Black Eonian Artist Florabed 1.5kg,18.17,19.99,13.63,14.99,https://daluawholesale.com.au/product/wio-black-eonian-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist florabed,3
missing,0.590,WIO Black Eonian Artist ** Fine ** Florabed 1.5kg,19.99,21.99,14.99,16.49,https://daluawholesale.com.au/product/wio-black-eonian-artist-fine-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist fine florabed,2
missing,0.535,WIO Red Eonian Artist ** Fine ** Florabed 1.5kg,19.99,21.99,14.99,16.49,https://daluawholesale.com.au/product/wio-red-eonian-artist-fine-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist fine florabed,2
missing,0.483,WIO Red Eonian Artist Florabed 3kg,33.31,36.64,24.98,27.48,https://daluawholesale.com.au/product/wio-red-eonian-artist-florabed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist florabed,3
missing,0.471,WIO Red Eonian Artist Florabed 1.5kg,18.17,19.99,13.63,14.99,https://daluawholesale.com.au/product/wio-eonian-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist florabed,3
missing,0.484,WIO Mustard Artist Florabed *Fine* 3kg,24.32,26.75,18.24,20.06,https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio mustard artist florabed fine,2
