family,source_rows,proposed_product_title,options_json,status
wio dusk riverbed,2,Wio Dusk Riverbed,"[{""source_title"":""WIO Red Dusk Riverbed 3kg"",""proposed_option"":""3kg / Red"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-red-dusk-riverbed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_6556c9e0198148c595a4dc658eb5513cmv2.webp""},{""source_title"":""WIO Red Dusk Riverbed 1.5kg"",""proposed_option"":""1.5kg / Red"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-red-dusk-riverbed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_6556c9e0198148c595a4dc658eb5513cmv2.webp""}]",review_before_shopify_write
wio emerald sand,2,Wio Emerald Sand,"[{""source_title"":""WIO Emerald Sand 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""29.30"",""markdown_plus_gst"":""21.98"",""source_url"":""https://daluawholesale.com.au/product/wio-emerald-sand-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_fb8219dee0bf4aa4a898a01fe874d323mv2.webp""},{""source_title"":""WIO Emerald Sand 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""16.64"",""markdown_plus_gst"":""12.49"",""source_url"":""https://daluawholesale.com.au/product/wio-emerald-sand-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_fb8219dee0bf4aa4a898a01fe874d323mv2.webp""}]",review_before_shopify_write
wio eonian artist fine florabed,2,Wio Eonian Artist Fine Florabed,"[{""source_title"":""WIO Black Eonian Artist ** Fine ** Florabed 1.5kg"",""proposed_option"":""1.5kg / Black / Fine"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-black-eonian-artist-fine-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp""},{""source_title"":""WIO Red Eonian Artist ** Fine ** Florabed 1.5kg"",""proposed_option"":""1.5kg / Red / Fine"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-red-eonian-artist-fine-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp""}]",review_before_shopify_write
wio eonian artist florabed,3,Wio Eonian Artist Florabed,"[{""source_title"":""WIO Black Eonian Artist Florabed 1.5kg"",""proposed_option"":""1.5kg / Black"",""cost_plus_gst"":""19.99"",""markdown_plus_gst"":""14.99"",""source_url"":""https://daluawholesale.com.au/product/wio-black-eonian-artist-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp""},{""source_title"":""WIO Red Eonian Artist Florabed 3kg"",""proposed_option"":""3kg / Red"",""cost_plus_gst"":""36.64"",""markdown_plus_gst"":""27.48"",""source_url"":""https://daluawholesale.com.au/product/wio-red-eonian-artist-florabed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed.webp""},{""source_title"":""WIO Red Eonian Artist Florabed 1.5kg"",""proposed_option"":""1.5kg / Red"",""cost_plus_gst"":""19.99"",""markdown_plus_gst"":""14.99"",""source_url"":""https://daluawholesale.com.au/product/wio-eonian-artist-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp""}]",review_before_shopify_write
wio golden hour riverbed,2,Wio Golden Hour Riverbed,"[{""source_title"":""WIO Golden Hour Riverbed 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-golden-hour-riverbed-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/wio_riverbeds_elderly_detail.png""},{""source_title"":""WIO Golden Hour Riverbed 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-golden-hour-riverbed-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/wio_riverbeds_elderly_detail.png""}]",review_before_shopify_write
wio jade bliss river bed,2,Wio Jade Bliss River Bed,"[{""source_title"":""WIO Jade Bliss River Bed 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-jade-bliss-river-bed-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""},{""source_title"":""WIO Jade Bliss River Bed 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-jade-bliss-river-bed-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""}]",review_before_shopify_write
wio midnight veil riverbed,2,Wio Midnight Veil Riverbed,"[{""source_title"":""WIO Midnight Veil Riverbed 1.5kg"",""proposed_option"":""1.5kg"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-midnight-veil-riverbed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_ee4d980ea8d045cfa1947c3302052cfbmv2-1.webp""},{""source_title"":""WIO Midnight Veil Riverbed 3kg"",""proposed_option"":""3kg"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-midnight-veil-riverbed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_ee4d980ea8d045cfa1947c3302052cfbmv2-1.webp""}]",review_before_shopify_write
wio mustard artist florabed,2,Wio Mustard Artist Florabed,"[{""source_title"":""WIO Mustard Artist Florabed 3kg"",""proposed_option"":""3kg"",""cost_plus_gst"":""40.30"",""markdown_plus_gst"":""30.23"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp""},{""source_title"":""WIO Mustard Artist Florabed 1.5kg"",""proposed_option"":""1.5kg"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp""}]",review_before_shopify_write
wio mustard artist florabed fine,2,Wio Mustard Artist Florabed Fine,"[{""source_title"":""WIO Mustard Artist Florabed *Fine* 3kg"",""proposed_option"":""3kg / Fine"",""cost_plus_gst"":""26.75"",""markdown_plus_gst"":""20.06"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png""},{""source_title"":""WIO Mustard Artist Florabed **Fine** 1.5kg"",""proposed_option"":""1.5kg / Fine"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-1-5kg-copy/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png""}]",review_before_shopify_write
wio powervol,2,Wio Powervol,"[{""source_title"":""WIO Powervol 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""31.58"",""markdown_plus_gst"":""23.68"",""source_url"":""https://daluawholesale.com.au/product/wio-powervol-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_953a2ce7437543de9a22aafc8fda3137mv2.webp""},{""source_title"":""WIO Powervol 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""15.41"",""markdown_plus_gst"":""11.56"",""source_url"":""https://daluawholesale.com.au/product/wio-powervol-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_953a2ce7437543de9a22aafc8fda3137mv2.webp""}]",review_before_shopify_write
